Category,SubCategory
No poverty,Developing countries
No poverty,Basic services
No poverty,Class
No poverty,Disadvantage d
No poverty,Economic resources
No poverty,End poverty
No poverty,Environment
No poverty,Equality
No poverty,Extreme poverty
No poverty,Financial inclusion
No poverty,Income
No poverty,Income equality
No poverty,Microfinance
No poverty,Non- discrimination
No poverty,Poor
No poverty,Poor and vulnerable
No poverty,Poverty
No poverty,Poverty eradication
No poverty,Poverty line
No poverty,Quality of Life
No poverty,Resources
No poverty,Social protection systems / social protection
No poverty,Sustainable
No poverty,Third World
No poverty,Vulnerable
No poverty,Wealth distribution
Zero hunger,Agricultural Orientation index
Zero hunger,Agricultural productivity
Zero hunger,Agriculture
Zero hunger,Consume
Zero hunger,Crop diversity
Zero hunger,Crops
Zero hunger,Doha Development Round / Doha Round
Zero hunger,End hunger
Zero hunger,Environment
Zero hunger,Food
Zero hunger,Food gap
Zero hunger,Food production
Zero hunger,Food reserves
Zero hunger,Food Security
Zero hunger,Genetic diversity
Zero hunger,Genetic diversity of seeds
Zero hunger,Genetics
Zero hunger,Hunger
Zero hunger,Hungry people
Zero hunger,Improved nutrition
Zero hunger,Innovations and health
Zero hunger,Legumes
Zero hunger,Maize
Zero hunger,Malnourished
Zero hunger,Malnutrition
Zero hunger,Nutrition
Zero hunger,Nutritional needs
Zero hunger,Nutritious
Zero hunger,Poverty
Zero hunger,Produce
Zero hunger,Productivity
Zero hunger,Quality of life
Zero hunger,Resilient agriculture
Zero hunger,Rural infrastructure
Zero hunger,Small-scale food producers
Zero hunger,Stunted growth
Zero hunger,Stunting
Zero hunger,Sufficient food
Zero hunger,Sustainable
Zero hunger,Sustainable agriculture
Zero hunger,Sustainable food production
Zero hunger,Trade diversity
Zero hunger,Trade restrictions
Zero hunger,Under nourished / Undernouris hed
Zero hunger,Wasting
Zero hunger,World’s hungry
Good health and well-being,Access to clean water and sanitation
Good health and well-being,Affordable medicines
Good health and well-being,AIDS
Good health and well-being,Air contaminati on
Good health and well-being,Air pollution
Good health and well-being,Alcohol abuse
Good health and well-being,Antenatal care
Good health and well-being,Antiretrovir al
Good health and well-being,Antiretrovir al therapy
Good health and well-being,Biomedical
Good health and well-being,Bodily autonomy
Good health and well-being,Child deaths
Good health and well-being,Contracepti ve use
Good health and well-being,Death rate
Good health and well-being,Dental
Good health and well-being,Disability and family support
Good health and well-being,Disability and inclusion
Good health and well-being,Disability and politics of location
Good health and well-being,Diseases
Good health and well-being,Family planning
Good health and well-being,Health
Good health and well-being,Health in resource- constrained settings
Good health and well-being,Health worker density
Good health and well-being,Healthy
Good health and well-being,Healthy lives
Good health and well-being,Hepatitis
Good health and well-being,HIV
Good health and well-being,Improving mortality
Good health and well-being,Increasing life expectancy
Good health and well-being,Indigenous
Good health and well-being,Infected
Good health and well-being,International health policy
Good health and well-being,International health regulations
Good health and well-being,Malaria
Good health and well-being,Maternal mortality
Good health and well-being,Measles
Good health and well-being,Medical
Good health and well-being,Mental health
Good health and well-being,Mortality
Good health and well-being,Mortality rate
Good health and well-being,Narcotic drug abuse
Good health and well-being,Neonatal mortality
Good health and well-being,Polio
Good health and well-being,Premature mortality
Good health and well-being,Preventable deaths
Good health and well-being,Reducing malaria
Good health and well-being,Reducing mortality
Good health and well-being,Refugees and health services
Good health and well-being,Reproductiv e health
Good health and well-being,Road traffic accidents
Good health and well-being,Sexual and reproductive health-care
Good health and well-being,Sexual health
Good health and well-being,Soil contaminati on
Good health and well-being,Soil pollution
Good health and well-being,Tobacco control
Good health and well-being,Treatment of substance abuse
Good health and well-being,Tuberculosi s
Good health and well-being,Universal health
Good health and well-being,Universal health coverage
Good health and well-being,Vaccines
Good health and well-being,Vaccines in developing countries
Good health and well-being,Violence
Good health and well-being,WASH
Good health and well-being,"Water, Sanitation"
Good health and well-being,and Hygiene for All
Good health and well-being,Water-borne disease
Good health and well-being,wellbeing/well being/well- being
Good health and well-being,World Health Organisatio n
Quality education ,Access to education
Quality education ,Basic education
Quality education ,Basic literacy
Quality education ,Basic literacy skills
Quality education ,Cultural diversity
Quality education ,Disability
Quality education ,Disability and education
Quality education ,Early childhood
Quality education ,Early childhood developm ent
Quality education ,Education
Quality education ,Education for sustainabi lity
Quality education ,Education in developin g
Quality education ,Enrolmen t
Quality education ,Equal access
Quality education ,Equal education
Quality education ,Equitable education
Quality education ,Gender disparitie s in education
Quality education ,Gender disparity
Quality education ,Gender equality
Quality education ,Gender equity
Quality education ,Gender sensitive
Quality education ,Global citizenshi p
Quality education ,Global education
Quality education ,Inclusion and education
Quality education ,Inclusive
Quality education ,Innovatio n
Quality education ,Internatio nal cooperati on
Quality education ,Learning opportuni ties
Quality education ,Lifelong learning
Quality education ,Literacy
Quality education ,Literacy skills
Quality education ,Numerac y
Quality education ,Preprimar y education
Quality education ,Primary education
Quality education ,Qualified teachers
Quality education ,Refugees and learning
Quality education ,Scholarsh ips
Quality education ,School
Quality education ,School enrolment
Quality education ,Secondar y education
Quality education ,Teacher training
Quality education ,Universal education
Quality education ,Vocation al training
Quality education ,Vulnerabl e
Quality education ,Women's rights
Gender equality,Basic living standards
Gender equality,Dignity
Gender equality,Disadvantaged
Gender equality,Discrimination
Gender equality,Employment
Gender equality,Empower girls
Gender equality,Empowerment
Gender equality,Empowerment of women / empower women / women's empowerment
Gender equality,Equal access
Gender equality,Equal opportunities
Gender equality,Equality
Gender equality,Exploitation
Gender equality,Female genital mutilation
Gender equality,Feminism
Gender equality,Forced marriage
Gender equality,Gender
Gender equality,Gender discrimination
Gender equality,Gender equality/parity
Gender equality,Governance and gender
Gender equality,Human rights
Gender equality,Human trafficking
Gender equality,Humanitarian
Gender equality,Marginalised
Gender equality,Parity
Gender equality,Pay
Gender equality,Reproductive rights
Gender equality,Sexual and reproductive health
Gender equality,Sexual exploitation
Gender equality,Sexual violence
Gender equality,Social inclusion
Gender equality,Trafficking
Gender equality,Universal health coverage
Gender equality,Violence
Gender equality,Violence against girls
Gender equality,Violence against women
Gender equality,Women
Gender equality,Women in work
Gender equality,Women's rights
Gender equality,Workplace equality
Clean water and sanitation,Accessible water
Clean water and sanitation,Affordable drinking water
Clean water and sanitation,Aquifer
Clean water and sanitation,Cities
Clean water and sanitation,Clean water
Clean water and sanitation,Contaminat ed
Clean water and sanitation,Defecation
Clean water and sanitation,Desalinatio n
Clean water and sanitation,Diarrhoeal diseases
Clean water and sanitation,Drought
Clean water and sanitation,Dumping
Clean water and sanitation,Ecosystem protection
Clean water and sanitation,Ecosystem restoration
Clean water and sanitation,Equitable sanitation
Clean water and sanitation,Floods
Clean water and sanitation,Fresh water
Clean water and sanitation,Hydropowe r
Clean water and sanitation,Hygiene
Clean water and sanitation,Improving water
Clean water and sanitation,Inadequate water
Clean water and sanitation,Inadequate water supply
Clean water and sanitation,Infrastructu re
Clean water and sanitation,Irrigation
Clean water and sanitation,Lakes
Clean water and sanitation,Latrines
Clean water and sanitation,Open defecation
Clean water and sanitation,Pollution
Clean water and sanitation,Recycled water
Clean water and sanitation,Reuse
Clean water and sanitation,River basins
Clean water and sanitation,Rivers
Clean water and sanitation,Safe drinking water
Clean water and sanitation,Sanitation
Clean water and sanitation,Sanitation and hygiene
Clean water and sanitation,Sanitation manageme nt
Clean water and sanitation,Sewerage
Clean water and sanitation,Sustainable water manageme nt
Clean water and sanitation,Sustainable withdrawal s
Clean water and sanitation,Third world
Clean water and sanitation,Toilets
Clean water and sanitation,Untreated wastewater
Clean water and sanitation,Urban
Clean water and sanitation,Waste
Clean water and sanitation,Wastewater
Clean water and sanitation,Wastewater treatment
Clean water and sanitation,Water
Clean water and sanitation,Water access
Clean water and sanitation,Water disasters
Clean water and sanitation,Water ecosystems
Clean water and sanitation,Water efficiency
Clean water and sanitation,Water harvesting
Clean water and sanitation,Water quality
Clean water and sanitation,Water resources manageme nt
Clean water and sanitation,Water scarcity
Clean water and sanitation,Water supply
Clean water and sanitation,Water- related ecosystems
Clean water and sanitation,Water-use efficiency
Affordable and clean energy,Affordable energy
Affordable and clean energy,Alternative energy
Affordable and clean energy,Animal waste
Affordable and clean energy,Battery
Affordable and clean energy,Carbon
Affordable and clean energy,Charcoal
Affordable and clean energy,Clean energy
Affordable and clean energy,Clean energy technology
Affordable and clean energy,Clean fuel technology
Affordable and clean energy,Clean fuels
Affordable and clean energy,Cleaner fossil fuel technology
Affordable and clean energy,Climate goal
Affordable and clean energy,Coal
Affordable and clean energy,Electricity
Affordable and clean energy,Electricity infrastructur e
Affordable and clean energy,Emissions
Affordable and clean energy,Energy
Affordable and clean energy,Energy efficiency
Affordable and clean energy,Energy infrastructur e
Affordable and clean energy,Energy research
Affordable and clean energy,Energy technology
Affordable and clean energy,Fossil-fuel
Affordable and clean energy,Green economy
Affordable and clean energy,Greenhouse gas
Affordable and clean energy,Greenhouse gas emissions
Affordable and clean energy,Hydroelectr ic
Affordable and clean energy,Low carbon
Affordable and clean energy,Modern electricity
Affordable and clean energy,Modern energy
Affordable and clean energy,Reliable energy
Affordable and clean energy,Renewable
Affordable and clean energy,Renewable energy
Affordable and clean energy,Renewable power
Affordable and clean energy,Solar
Affordable and clean energy,Solar energy
Affordable and clean energy,Solar power
Affordable and clean energy,Sustainable energy
Affordable and clean energy,Sustainable energy services
Affordable and clean energy,Sustainable power
Affordable and clean energy,Vehicles
Affordable and clean energy,Wave
Affordable and clean energy,Wind
Affordable and clean energy,Wind power
Affordable and clean energy,Wind turbine
Affordable and clean energy,Wood
Decent work and economic growth,Aid for trade
Decent work and economic growth,Banking
Decent work and economic growth,Child labour
Decent work and economic growth,Child soldiers
Decent work and economic growth,Creativity and innovation
Decent work and economic growth,Culture
Decent work and economic growth,Decent work
Decent work and economic growth,Decent work for all
Decent work and economic growth,Development oriented policy
Decent work and economic growth,Economic growth
Decent work and economic growth,Economic productivity
Decent work and economic growth,Economy
Decent work and economic growth,Enterprises
Decent work and economic growth,Entrepreneurs hip
Decent work and economic growth,Equal pay
Decent work and economic growth,Finance
Decent work and economic growth,Financial services
Decent work and economic growth,Forced labour
Decent work and economic growth,GDP growth
Decent work and economic growth,Global resource efficiency
Decent work and economic growth,Global trade
Decent work and economic growth,Gross domestic product growth
Decent work and economic growth,Human trafficking
Decent work and economic growth,Inclusive economic growth
Decent work and economic growth,Innovation
Decent work and economic growth,Insurance
Decent work and economic growth,Job creation
Decent work and economic growth,Jobs
Decent work and economic growth,Labour market
Decent work and economic growth,Labour rights
Decent work and economic growth,Micro finance
Decent work and economic growth,Migrant workers
Decent work and economic growth,Modern slavery
Decent work and economic growth,Poverty eradication
Decent work and economic growth,Poverty line
Decent work and economic growth,Productive employment
Decent work and economic growth,Productivity
Decent work and economic growth,Public policy
Decent work and economic growth,Quality jobs
Decent work and economic growth,Quality of life
Decent work and economic growth,Resource efficiency
Decent work and economic growth,Safe work
Decent work and economic growth,Secure work
Decent work and economic growth,Slavery
Decent work and economic growth,Social policies
Decent work and economic growth,Society
Decent work and economic growth,Stable employment
Decent work and economic growth,Stable jobs
Decent work and economic growth,Sustainable consumption
Decent work and economic growth,Sustainable economic growth
Decent work and economic growth,Sustainable production
Decent work and economic growth,Sustainable tourism
Decent work and economic growth,Trade
Decent work and economic growth,Unemployme nt
Decent work and economic growth,Well-paid jobs
Decent work and economic growth,Women migrants
Decent work and economic growth,Work
Decent work and economic growth,Work opportunities
Decent work and economic growth,World trade
Decent work and economic growth,Youth employment
Decent work and economic growth,Youth unemploymen t
"Industry, innovation and infrastructure",Access to the internet
"Industry, innovation and infrastructure",Affordable access
"Industry, innovation and infrastructure",Affordable credit
"Industry, innovation and infrastructure",Clean technologies
"Industry, innovation and infrastructure",Cooperation
"Industry, innovation and infrastructure",Data banks
"Industry, innovation and infrastructure",Economic development
"Industry, innovation and infrastructure",Electrical power
"Industry, innovation and infrastructure",Energy
"Industry, innovation and infrastructure",Enterprises
"Industry, innovation and infrastructure",Environmentall y sound technologies
"Industry, innovation and infrastructure",Financial services
"Industry, innovation and infrastructure",ICT infrastructure
"Industry, innovation and infrastructure",Industrial diversification
"Industry, innovation and infrastructure",Industrialisatio n
"Industry, innovation and infrastructure",Information and communication technology
"Industry, innovation and infrastructure",Infrastructure
"Industry, innovation and infrastructure",Innovation
"Industry, innovation and infrastructure",Internet access
"Industry, innovation and infrastructure",Irrigation
"Industry, innovation and infrastructure",Knowledge in education for all
"Industry, innovation and infrastructure",Mobile networks in developing countries
"Industry, innovation and infrastructure",National Security
"Industry, innovation and infrastructure",Network infrastructure
"Industry, innovation and infrastructure",Phone service
"Industry, innovation and infrastructure",Public policy
"Industry, innovation and infrastructure",Quality of life
"Industry, innovation and infrastructure",Regional infrastructure
"Industry, innovation and infrastructure",Research
"Industry, innovation and infrastructure",Resilient infrastructure
"Industry, innovation and infrastructure",Resource use efficiency
"Industry, innovation and infrastructure",Roads
"Industry, innovation and infrastructure",Sanitation
"Industry, innovation and infrastructure",Scientific research
"Industry, innovation and infrastructure",Society
"Industry, innovation and infrastructure",Sustainable industrialisatio n
"Industry, innovation and infrastructure",Sustainable infrastructure
"Industry, innovation and infrastructure",Technological capabilities
"Industry, innovation and infrastructure",Technology
"Industry, innovation and infrastructure",Trade
"Industry, innovation and infrastructure",Transborder infrastructure
"Industry, innovation and infrastructure",Transport
"Industry, innovation and infrastructure",Value chains
"Industry, innovation and infrastructure",Value chains and markets
"Industry, innovation and infrastructure",Water infrastructure
"Industry, innovation and infrastructure",Water resources
Reduced inequaliti es,Affordabl e housing
Reduced inequaliti es,Age
